2024-07-16 06:40:16,652 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Configure stats pid to 3692503
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Loading settings from /home/opc/.config/wandb/settings
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Loading settings from /data1/vllm/MPP-LLaVA-Pretrain/wandb/settings
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_pipeline.py', 'program_abspath': '/data1/vllm/MPP-LLaVA-Pretrain/train_pipeline.py', 'program': 'train_pipeline.py'}
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:_log_setup():520] Logging user logs to /data1/vllm/MPP-LLaVA-Pretrain/wandb/run-20240716_064016-630fcaqs/logs/debug.log
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:_log_setup():521] Logging internal logs to /data1/vllm/MPP-LLaVA-Pretrain/wandb/run-20240716_064016-630fcaqs/logs/debug-internal.log
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:init():560] calling init triggers
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:init():610] starting backend
2024-07-16 06:40:16,653 INFO    MainThread:3692503 [wandb_init.py:init():614] setting up manager
2024-07-16 06:40:16,655 INFO    MainThread:3692503 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-16 06:40:16,656 INFO    MainThread:3692503 [wandb_init.py:init():622] backend started and connected
2024-07-16 06:40:16,661 INFO    MainThread:3692503 [wandb_init.py:init():711] updated telemetry
2024-07-16 06:40:16,702 INFO    MainThread:3692503 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-16 06:40:16,940 INFO    MainThread:3692503 [wandb_run.py:_on_init():2396] communicating current version
2024-07-16 06:40:16,959 INFO    MainThread:3692503 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-16 06:40:16,959 INFO    MainThread:3692503 [wandb_init.py:init():795] starting run threads in backend
2024-07-16 06:40:22,820 INFO    MainThread:3692503 [wandb_run.py:_console_start():2374] atexit reg
2024-07-16 06:40:22,820 INFO    MainThread:3692503 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-07-16 06:40:22,820 INFO    MainThread:3692503 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-07-16 06:40:22,820 INFO    MainThread:3692503 [wandb_run.py:_redirect():2319] Redirects installed.
2024-07-16 06:40:22,822 INFO    MainThread:3692503 [wandb_init.py:init():838] run started, returning control to user process
2024-07-16 07:13:01,365 INFO    MainThread:3692503 [wandb_run.py:_finish():2103] finishing run wangyin717/MPP-Qwen/630fcaqs
2024-07-16 07:13:01,365 INFO    MainThread:3692503 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-07-16 07:13:01,365 INFO    MainThread:3692503 [wandb_run.py:_restore():2326] restore
2024-07-16 07:13:01,365 INFO    MainThread:3692503 [wandb_run.py:_restore():2332] restore done
2024-07-16 07:13:09,781 INFO    MainThread:3692503 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-07-16 07:13:09,782 INFO    MainThread:3692503 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-07-16 07:13:09,787 INFO    MainThread:3692503 [wandb_run.py:_footer_sync_info():3953] logging synced files
